,h,t,r,type,newEntities,pair_c
11073,Q215219,frenzied,is surprisingly adept at,Open_KG,tail_,default
11074,Q12125747,Q7390,is with,KG,,default
11075,Q852835,Q28472,is in,KG,,default
11076,Q215219,Q68015646,has,KG,,default
11077,Her,Q326473,mixtape,Open_KG,head_,default
11078,Q215219,Q779974,exceeded,KG,,default
11079,Q215219,vocal prowess,has,Open_KG,tail_,default
11080,Q24866706,Q7390,has,KG,,default
11081,Q24866706,Q8436,has,KG,,default
11082,Q215219,Q1892995,has,KG,,default
11083,Q215219,Q478798,has,KG,,default
11084,Q19376392,embody,is assured,Open_KG,tail_,default
11085,Q11148,Q955075,has,KG,,default
11086,Q4780984,Q3975,is in,KG,,default
11087,they,Q238593,were playing,Open_KG,head_,default
11088,she,Q79784,were,Open_KG,head_,default
11089,she,Q5582580,were,Open_KG,head_,default
11090,she,Q170584,stay,Open_KG,head_,default
11091,Q30,First,of Clubs is,Open_KG,tail_,default
11092,Q5,Q1071027,is with,KG,,default
11093,Better,You Tour,is With,Open_KG,head_tail_,default
11094,Q101965,Q7901733,is with,KG,,default
11095,They,auteur,are almost always created by,Open_KG,head_tail_,default
11096,International 16:1,Q735,List of,Open_KG,head_,default
11097,Q3090589,Q101072,is in,KG,,default
11098,1950s,Q3090589,mark,Open_KG,head_,default
11099,Q6738039,Q30,is in,KG,,default
11100,Q999646,Q11635,is in,KG,,default
11101,Q1659229,Q27905,is in,KG,,default
11102,Q27905,Q858467,in ruling is,KG,,default
11103,Q2906809,Q618,Fadeout of,KG,,default
11104,Q11229,Q1071233,is in,KG,,default
11105,Q17281278,Q1071233,average was,KG,,default
11106,Q1251417,Q2632857,disappearing from,KG,,default
11107,Q746628,Q5579109,scale back,KG,,default
11108,Q42139305,Q82794,is in,KG,,default
11109,Q783794,Q844569,having adopted,KG,,default
11110,Q783794,Q658255,identity of,KG,,default
11111,Q465009,Q120,is in,KG,,default
11112,Q1487484,Q123,is in,KG,,default
11113,Q34006,Q21590660,has,KG,,default
11114,Q618,Q577,come out for,KG,,default
11115,Q23681360,Q4950934,has,KG,,default
11116,its,Q170198,Bomba,Open_KG,head_,default
11117,Q170198,Q11424,is in,KG,,default
11118,Q34006,Q40276,has,KG,,default
11119,Q618,Q17641254,were following suit In,KG,,default
11120,Q11424,Q1758354,relied on,KG,,default
11121,Q148669,Q33999,well known as,KG,,default
11122,Q148669,Q33999,well known as,KG,,default
11123,1953,Q3236990,has,Open_KG,head_,default
11124,1953,Q170584,'s Bigamist is,Open_KG,head_,default
11125,Q41263,Q11396960,made for,KG,,default
11126,Her,Q943338,effort,Open_KG,head_,default
11127,it,Q185867,Often referred as,Open_KG,head_,default
11128,it,Q26221026,perhaps first example of,Open_KG,head_,default
11129,Its,Q835638,distributor,Open_KG,head_,default
11130,Q5482740,Q7247817,is with,KG,,default
11131,Q11424,Q36253,has,KG,,default
11132,Q11424,Q2085515,'s length is,KG,,default
11133,its,Q1370520,star,Open_KG,head_,default
11134,Q128751,Q8261,one of,KG,,default
11135,Q2995644,brutal,is,Open_KG,tail_,default
11136,Q201424,Q15180,is with,KG,,default
11137,Q6428674,Q22807052,has,KG,,default
11138,Q24925,Q41263,were of,KG,,default
11139,Q423652,1954,from Creature is,Open_KG,tail_,default
11140,Q182015,simplistic moral,is with,Open_KG,tail_,default
11141,Q6428674,Q1356411,has,KG,,default
11142,Q358322,Q652592,has,KG,,default
11143,Q339587,Q786019,is in,KG,,default
11144,disturbing,1957,Among Man is,Open_KG,head_tail_,default
11145,Q8473,Q7443924,has,KG,,default
11146,I,Q18388367,Was,Open_KG,head_,default
11147,Q11707054,Q309100,is in,KG,,default
11148,Q179200,Q3616582,has,KG,,default
11149,Q2261818,Q27447174,is with,KG,,default
11150,Q11424,Q83267,preach against,KG,,default
11151,Q521098,Q1200750,In,KG,,default
11152,Q471728,Q265158,has,KG,,default
11153,his,Q488222,movie,Open_KG,head_,default
11154,Q11424,Q468469,Monster from,KG,,default
11155,he,Q577,hand in,Open_KG,head_,default
11156,Q16865765,Q24869,direct over,KG,,default
11157,Q16865765,Q24869,would go,KG,,default
11158,He,Q6950135,describe,Open_KG,head_,default
11159,Q16865765,Q789826,is with,KG,,default
11160,Q13427002,Q464980,is in,KG,,default
11161,Q934087,Q36297,was,KG,,default
11162,Q5380819,Q170198,is in,KG,,default
11163,Q386880,Q618,was great innovator of,KG,,default
11164,1958,Q739302,Macabre at_time,Open_KG,head_,default
11165,Q13107365,Q2999003,is with,KG,,default
11166,Q1145523,Q235155,is with,KG,,default
11167,Q235155,Q57605725,House on,KG,,default
11168,Q235155,Q42139305,has,KG,,default
11169,Q11424,Q1253445,'s climax is,KG,,default
11170,his,Percepto,gimmick,Open_KG,head_tail_,default
11171,Q786922,Q30,is in,KG,,default
11172,Q478798,Q1758354,is with,KG,,default
11173,Q223770,Q194112,is in,KG,,default
11174,Q80071,1950s,is in,Open_KG,tail_,default
11175,Q237813,Q1931144,with nights is,KG,,default
11176,Q13979,Q237813,is with,KG,,default
11177,Q332140,Q2062566,has,KG,,default
11178,Q11424,Q4818701,offered as,KG,,default
11179,Q11424,Q200726,has,KG,,default
11180,Q126399,Q200726,handled,KG,,default
11181,Q3521189,Q30,'s Dracula is,KG,,default
11182,Q1192650,Q336877,is with,KG,,default
11183,Q3331189,Q488222,King of,KG,,default
11184,Q6567,Q488222,King of,KG,,default
11185,Q618,Q1210151,grossing,KG,,default
11186,his,Q21510733,import,Open_KG,head_,default
11187,Q37038,Q309314,on $ is,KG,,default
11188,Q182180,Q11424,is in,KG,,default
11189,Q11424,Q1860,dubbed in,KG,,default
11190,Q11635,Q11500,is in,KG,,default
11191,it,Q1370895,word of,Open_KG,head_,default
11192,Q185451,smashing,was,Open_KG,tail_,default
11193,Q11424,Q3098957,earned,KG,,default
11194,Filmspotting,Q1297,is weekly,Open_KG,head_,default
11195,Q53858110,Q7248602,originally began as,KG,,default
11196,Q170924,Q30849,is in,KG,,default
11197,his,Q83061,friend,Open_KG,head_,default
11198,his,Q696575,friend,Open_KG,head_,default
11199,What resulted,Q603773,was,Open_KG,head_,default
11200,Q1297,Q7947099,'s station is,KG,,default
11201,Q53858110,Q7947099,Shortly after was picked up by,KG,,default
11202,Q69488,Q1765120,is with,KG,,default
11203,Q1765120,Q1860,is in,KG,,default
11204,Q14689197,Q487977,is in,KG,,default
11205,Q34006,Q14689197,Burn on,KG,,default
11206,Kempenaar,Q1071907,is member of,Open_KG,head_,default
11207,He,married,is,Open_KG,head_tail_,default
11208,Q56254377,Filmspotting,joined,Open_KG,tail_,default
11209,Q13099004,Q131212,is,KG,,default
11210,Q53858110,Q83061,graduate of,KG,,default
11211,he,Q796197,met,Open_KG,head_,default
11212,Q53858110,Kempenaar,is with,Open_KG,tail_,default
11213,Q796197,show with Kempenaar,co-host,Open_KG,tail_,default
11214,Q14754454,occasional,was,Open_KG,tail_,default
11215,Q83061,Q796197,'s roommate is,KG,,default
11216,Q8563381,Q1983062,was on,KG,,default
11217,Q10862449,announced,was,Open_KG,tail_,default
11218,Q83061,Q10862449,has,KG,,default
11219,Q10862449,when announced,was,Open_KG,tail_,default
11220,Q7878662,acting,is in,Open_KG,tail_,default
11221,he,Q586060,holds B.A. in,Open_KG,head_,default
11222,he,acting,MFA in,Open_KG,head_tail_,default
11223,Q796197,Q1397,attended Kenyon College in,KG,,default
11224,Q796197,Q53858110,leaving,KG,,default
11225,course,Q50000,proving,Open_KG,head_,default
11226,Q183635,Q1907359,is,KG,,default
11227,Professional,Q522057,is with,Open_KG,head_,default
11228,it,based,was,Open_KG,head_tail_,default
11229,it,based on,was,Open_KG,head_tail_,default
11230,Q4049121,Q1473804,is in,KG,,default
11231,their,Q11424,films,Open_KG,head_,default
11232,their,Q18388296,podcast,Open_KG,head_,default
11233,Q602418,Q18388296,placed in,KG,,default
11234,Q11424,Our,Fiends,Open_KG,tail_,default
11235,Q5531450,Q1297,is in,KG,,default
11236,Q9168,Q618779,Awards ',KG,,default
11237,Q189293,Q2857223,is with,KG,,default
11238,Q2060752,Q7447725,was,KG,,default
11239,Q2060752,Q56278697,was Certain,KG,,default
11240,Q4081651,Q53858110,is in,KG,,default
11241,Q1071027,Filmspotting,changed to,Open_KG,tail_,default
11242,Q7401,renaming Cinecast,is in,Open_KG,tail_,default
11243,Ghahremanifar,Q9168,was,Open_KG,head_,default
11244,Q30668273,1984,is in,Open_KG,tail_,default
11245,Q2919357,Q118,was,KG,,default
11246,He,Esmaeel Cheshmazar,is grandson of,Open_KG,head_tail_,default
11247,Q3427349,1998,is in,Open_KG,tail_,default
11248,Err:520,1997,is In,Open_KG,head_tail_,default
11249,Q229390,Q794,is in,KG,,default
11250,Q11424,Q577,was,KG,,default
11251,Q11469,Q149757,were put inside,KG,,default
11252,him,Q35158,need for,Open_KG,head_,default
11253,he,Q11469,line of,Open_KG,head_,default
11254,him,Q282250,use,Open_KG,head_,default
11255,Q282250,Q18218093,is in,KG,,default
11256,Q3005427,Pulfrich,is in,Open_KG,tail_,default
11257,Q3616,Q280006,has,KG,,default
11258,Q11424,Q3616,were screened at,KG,,default
11259,Q2589295,cinematographer,was,Open_KG,tail_,default
11260,Q41298,Q3972943,in shrine is,KG,,default
11261,Q41298,Q3972943,in article is,KG,,default
11262,Q406039,Q34006,is in,KG,,default
11263,Q1791841,Q41298,is in,KG,,default
11264,Q125191,Q690079,place at,KG,,default
11265,Q125191,Q571,is in,KG,,default
11266,front,Q82794,on photos is,Open_KG,head_,default
11267,Q1791841,Q571,photos in,KG,,default
11268,Q103184,Q41298,is in,KG,,default
11269,front,Q41298,is in,Open_KG,head_,default
11270,Q41298,Q120,in article is,KG,,default
11271,front,Q2988681,on photos is,Open_KG,head_,default
11272,Q131647,Q121194,on Associations is,KG,,default
11273,Q125191,Q244615,Awards for,KG,,default
11274,Q34929,Q3130,is in,KG,,default
11275,Q14387,Q794,is in,KG,,default
11276,him,Q40821,undergo,Open_KG,head_,default
11277,Q166249,2015,is in,Open_KG,tail_,default
11278,Q169872,Q166249,come back for,KG,,default
11279,Q126,Q5156550,is in,KG,,default
11280,Q48422,Q168182,was,KG,,default
11281,Q2919357,Q48422,has,KG,,default
11282,Q48422,Q168182,was,KG,,default
11283,it,Q11471,was,Open_KG,head_,default
11284,Q1318295,Q215972,effect,KG,,default
11285,Q369377,usually psychological,is,Open_KG,tail_,default
11286,Q11424,so pleasurable,is,Open_KG,tail_,default
11287,they,Q11344,introducing,Open_KG,head_,default
11288,Q830350,Q1766899,has,KG,,default
11289,Q5274490,Q53001,Breathless at_time,KG,,default
11290,Q30,Q1415086,has,KG,,default
11291,Q1198812,Q190,Wrath of,KG,,default
11292,The following,Q2025821,is list of,Open_KG,head_,default
11293,Q11424,Q5290,opening on,KG,,default
11294,Q11424,Q5290,opening on,KG,,default
11295,Q11424,Q24238946,following,KG,,default
11296,Q2025821,Q183366,is in,KG,,default
11297,Q28456533,Q1415395,is in,KG,,default
11298,Q30,Q28456533,are,KG,,default
11299,Q183366,Q27948,is in,KG,,default
11300,Q11424,Q183366,is in,KG,,default
11301,Q28456533,Q1415395,is in,KG,,default
11302,Q30,Q28456533,are,KG,,default
11303,Q903416,Q183366,is in,KG,,default
11304,Q28456533,Q1415395,is in,KG,,default
11305,Q30,Q28456533,are,KG,,default
11306,Q2628694,Q3975,is in,KG,,default
11307,Q746628,Q11707054,is,KG,,default
11308,Q783794,Q625568,is in,KG,,default
11309,Q746628,Q625568,Most firms in,KG,,default
11310,Q375336,Q16502,is in,KG,,default
11311,Q1786944,Q1361,is in,KG,,default
11312,Q1023646,Q483242,structure near,KG,,default
11313,Q3637466,1893,is In,Open_KG,tail_,default
11314,Q375336,Q30,is in,KG,,default
11315,Q483242,Q932601,is in,KG,,default
11316,Q783794,Q99,moving to,KG,,default
11317,Q47616,Although then available,were by,Open_KG,tail_,default
11318,Q47616,Although then widely available,were by,Open_KG,tail_,default
11319,Q210064,Q193788,best source of was,KG,,default
11320,Q385378,Q995043,is in,KG,,default
11321,Q746801,Q1894881,has,KG,,default
11322,Q375336,Q34006,is in,KG,,default
11323,Q3143067,Q816843,is in,KG,,default
11324,Q11396960,Q8148,is in,KG,,default
11325,mid-1920s,Q200726,By 5 is,Open_KG,head_,default
11326,mid-1920s,Q11396960,By 5 is,Open_KG,head_,default
11327,Q11707054,Q601401,is in,KG,,default
11328,their,Q1777129,films,Open_KG,head_,default
11329,Q170079,Q11707054,operated simultaneously with,KG,,default
11330,Q746628,Q735427,are sometimes collectively referred to,KG,,default
11331,Q858467,Q6498684,has,KG,,default
11332,Q159846,Q11201,is in,KG,,default
11333,Q34006,Q5579109,has,KG,,default
11334,Q6497985,Q6501349,is central component of,KG,,default
11335,Q1071233,Q1415395,is in,KG,,default
11336,Q7973858,Q80071,somewhat inexplicably evolved into,KG,,default
11337,Q375336,Q340169,produce,KG,,default
11338,Q47694,Q11229,is with,KG,,default
11339,Q24639,Q16,is in,KG,,default
11340,Q1054483,Q65,is in,KG,,default
11341,Q686301,fall 2019,opened Tyler Perry Studios In,Open_KG,tail_,default
11342,Q7860124,Q23556,is in,KG,,default
11343,Q3072120,Q11307668,make films outside,KG,,default
11344,Q11707054,Q1260632,focus on,KG,,default
11345,Q375336,Q30,is in,KG,,default
11346,you,Q183252,pointing way to,Open_KG,head_,default
11347,Q24866706,professional,is,Open_KG,tail_,default
11348,Q328799,Q328799,is in,KG,,default
11349,Q523,Q76074,is in,KG,,default
11350,Q37049,Q328799,awards of,KG,,default
11351,Q62558,Q1508130,is in,KG,,default
11352,Q297384,Q126399,is in,KG,,default
11353,Q164487,Q1424374,is in,KG,,default
11354,Q104146,Q2680856,is in,KG,,default
11355,Q43247,Q7226,is in,KG,,default
11356,Stewpot,Q1535240,is in,Open_KG,head_,default
11357,Q3010369,Q4760429,is in,KG,,default
11358,Q2519837,Q1140561,is in,KG,,default
11359,Q42786,Q92044,is in,KG,,default
11360,Q164487,Q2166879,is in,KG,,default
11361,Q180919,Q669010,is in,KG,,default
11362,Q4616,Q756405,is in,KG,,default
11363,Q2267017,Q1535240,is in,KG,,default
11364,Q190523,Q11424,is in,KG,,default
11365,Pontipee,Seven,is in,Open_KG,head_tail_,default
11366,Q230023,Q4898941,is in,KG,,default
11367,Err:520,Q1956265,See,Open_KG,head_,default
11368,Err:520,Q1956265,See also,Open_KG,head_,default
11369,Q1071233,Q41253,used in,KG,,default
11370,Q56474015,Q18159897,is,KG,,default
11371,It,Q1638892,was coined by,Open_KG,head_,default
11372,It,Q11424,was coined by,Open_KG,head_,default
11373,Q11424,Q41253,is in,KG,,default
11374,Q3178754,Q188451,suppression of,KG,,default
11375,Q220505,Q668,Dharamshala in,KG,,default
11376,Q177634,Q188863,is in,KG,,default
11377,Q56278697,Q845956,is,KG,,default
11378,Q186182,Q668,is in,KG,,default
11379,Q3331189,Q124,was,KG,,default
11380,Q177634,Q532,is in,KG,,default
11381,Q241317,Q177634,engage with,KG,,default
11382,Q48282,Q11500,is in,KG,,default
11383,Q4682801,Q5618706,board,KG,,default
11384,Q573,Q125,is in,KG,,default
11385,Q3070706,Q106526,has,KG,,default
11386,Q106526,Q3528976,has,KG,,default
11387,Q7569,Q1371819,has,KG,,default
11388,Q30610648,You Without You,is With,Open_KG,tail_,default
11389,Q52943,Q5272206,is with,KG,,default
11390,Q5187,Q3077295,Night for,KG,,default
11391,Q6055890,Q3427349,is with,KG,,default
11392,discussion,Q2544188,is with,Open_KG,head_,default
11393,Q5290,Q6305122,is with,KG,,default
11394,The following,Q11424,is list of,Open_KG,head_,default
11395,Q11563,though unknown,is,Open_KG,tail_,default
11396,Q33506,2005,is in,Open_KG,tail_,default
11397,Q191290,2018,recovered in,Open_KG,tail_,default
11398,Q207544,Q8261,In,KG,,default
11399,Q11424,based,is,Open_KG,tail_,default
11400,Q28389,Q131841,is credited with,KG,,default
11401,her,Q207472,dog,Open_KG,head_,default
11402,Q467,Q15807,has,KG,,default
11403,Q15807,Q43088,wearing,KG,,default
11404,Q191808,Q22676,has,KG,,default
11405,she,Q7944,receives,Open_KG,head_,default
11406,she,Q242274,captures,Open_KG,head_,default
11407,wearer,if dead,is,Open_KG,head_tail_,default
11408,Q876824,if dead,only come off,Open_KG,tail_,default
11409,she,Q242274,kill,Open_KG,head_,default
11410,Q7364,Q1459435,repeating,KG,,default
11411,Q179200,Q1323191,has,KG,,default
11412,Q876824,Q1323191,were designed by,KG,,default
11413,Q191290,Q5275306,Initially were made in,KG,,default
11414,Q191290,Q5275306,Initially were made in,KG,,default
11415,Q1697305,Q154425,is with,KG,,default
11416,Q191290,Q3280214,was,KG,,default
11417,Q191290,jeweled,was,Open_KG,tail_,default
11418,Q191290,Q1558,was rejected as,KG,,default
11419,Q82604,Q1087043,was approved with,KG,,default
11420,Q7321842,Q103184,is in,KG,,default
11421,Q2915810,Q65,is in,KG,,default
11422,Q191290,Q134574,were made from,KG,,default
11423,they,because inexpensive,were,Open_KG,head_tail_,default
11424,Q22676,Q190200,is with,KG,,default
11425,Q11424,Q674564,has,KG,,default
11426,Q11469,Q1090,is in,KG,,default
11427,Q11469,Q1628293,is with,KG,,default
11428,Q1131660,Q301897,were,KG,,default
11429,Q49274,Q5290,is on,KG,,default
11430,Q19057481,Q602188,has,KG,,default
11431,Q49274,stunt double,has,Open_KG,tail_,default
11432,some,Q7628770,made for,Open_KG,head_,default
11433,Q1408064,Q11637,says instead,KG,,default
11434,Q49274,Q22676,has,KG,,default
11435,Q11424,Q2252077,has,KG,,default
11436,Q375336,Q577,were,KG,,default
11437,Q850210,Q194189,is with,KG,,default
11438,Q768717,Q850210,supplemented,KG,,default
11439,Q191290,Q177923,centerpiece of,KG,,default
11440,Q191290,Q5060044,became,KG,,default
11441,Q1857255,Q879844,apparently sold,KG,,default
11442,Q876824,Q179200,is in,KG,,default
11443,Q131626,Q23,is in,KG,,default
11444,to pair,Q161358,is in,Open_KG,head_,default
11445,Q694106,Q876824,is with,KG,,default
11446,there,Q42165,has,Open_KG,head_,default
11447,Q4961393,Q33506,director of,KG,,default
11448,Q1368,Q42240,fund,KG,,default
11449,Q1368,Q42240,fund,KG,,default
11450,Q1308239,Q2300409,has,KG,,default
11451,Q1543280,Q220543,is in,KG,,default
11452,Q7850,Q65,is in,KG,,default
11453,They,Q753601,were visible at,Open_KG,head_,default
11454,Q753601,1989,is in,Open_KG,tail_,default
11455,Q1308239,Q2300409,including,KG,,default
11456,They,sold,were,Open_KG,head_tail_,default
11457,Q19057481,Q602188,has,KG,,default
11458,Q21476544,Q38022,Samuels of,KG,,default
11459,Q2261849,"$ 165,000",had paid,Open_KG,tail_,default
11460,Q191290,Q15615185,be highlight of,KG,,default
11461,Q1188029,Q1621107,is in,KG,,default
11462,Q1077266,Q48673984,head of,KG,,default
11463,Q1188029,Q1621107,is in,KG,,default
11464,they,Q14083,go for,Open_KG,head_,default
11465,Q191290,Q621303,Academy of,KG,,default
11466,Q55615419,Q184587,is in,KG,,default
11467,she,them,got,Open_KG,head_tail_,default
11468,Q7414,Q179200,rights from,KG,,default
11469,Q1131660,Q1090,remove,KG,,default
11470,Q1131660,filming,falling off during,Open_KG,tail_,default
11471,Q4049121,Q2140674,was,KG,,default
11472,Q1070358,Q1131660,is with,KG,,default
11473,Q8441,Q4049983,has,KG,,default
11474,Q191290,Q2633001,size for,KG,,default
11475,Q49274,Q876824,has,KG,,default
11476,Q21590660,Q34006,is in,KG,,default
11477,Western,Q1072976,produced,Open_KG,head_,default
11478,Q11424,Q47223,has,KG,,default
11479,Q1308239,Q2300409,including,KG,,default
11480,Q11168,Q318452,featuring,KG,,default
11481,Q11168,Q318452,featuring,KG,,default
11482,wearer,clicking,fly heels together upon,Open_KG,head_tail_,default
11483,Q133250,Q11038979,is in,KG,,default
11484,Q43088,fake,are,Open_KG,tail_,default
11485,Err:520,Q207333,is In,Open_KG,head_,default
11486,they,Q22676,are at,Open_KG,head_,default
11487,Q82604,Q5322166,was displayed with,KG,,default
11488,Q1071027,Q22676,written inside,KG,,default
11489,Q207961,Q488383,levitate,KG,,default
11490,Q23013699,Q27908811,Witch of,KG,,default
11491,Q876824,Q3,seemingly having,KG,,default
11492,Q24384,Q28443710,is in,KG,,default
11493,Q8473,Q16502,take over,KG,,default
11494,Q19057481,Q876824,of Life is,KG,,default
11495,Q15912748,Q771197,Witch of,KG,,default
11496,Q20647148,Q210064,is in,KG,,default
11497,Q3051679,Q18460285,is In,KG,,default
11498,Q18460285,Q19057481,In Elphaba is,KG,,default
11499,Q3051679,Q313498,Witch of,KG,,default
11500,Q6391951,Q7401,has,KG,,default
11501,Q7401,it,is in,Open_KG,tail_,default
11502,Q44306,Q313498,'s East is,KG,,default
11503,Q49084,Q105420,is in,KG,,default
11504,Q105420,Q379825,in story is,KG,,default
11505,Q49084,Q16502,members of,KG,,default
11506,Q43088,Q193695,is in,KG,,default
11507,them,Q133346,achieve,Open_KG,head_,default
11508,their,Q750987,album,Open_KG,head_,default
11509,Q22676,Q11424,point,KG,,default
11510,Q478798,reverse,was printed in,Open_KG,tail_,default
11511,Q22676,Q11424,left in,KG,,default
11512,Q876824,wearable,are,Open_KG,tail_,default
11513,they,Q25358,give,Open_KG,head_,default
11514,Q191290,Q131007,is In,KG,,default
11515,Q7401,Q34508,is in,KG,,default
11516,Q876824,Q34508,are,KG,,default
11517,Err:520,Q52715628,See also,Open_KG,head_,default
11518,Q5466528,Q3336843,is in,KG,,default
11519,Q13107365,Q4951483,is in,KG,,default
11520,Q298920,Snoopy,has,Open_KG,tail_,default
11521,Q4793715,Q10858068,sold,KG,,default
11522,Q25358,1994,is In,Open_KG,tail_,default
11523,Q42855995,Q30,is in,KG,,default
11524,its,Q8188561,line,Open_KG,head_,default
11525,Q37105,Q230360,manufacturer of,KG,,default
11526,its,Q42855995,line,Open_KG,head_,default
11527,its,Q506390,line,Open_KG,head_,default
11528,Q17737,dominant,was,Open_KG,tail_,default
11529,Q41217,because ideological,are,Open_KG,tail_,default
11530,Q11424,Q9510,represent,KG,,default
11531,Q234460,Q20978643,within,KG,,default
11532,it,reproduced,is,Open_KG,head_tail_,default
11533,Q17737,Q42213,is explored in,KG,,default
11534,Baudry,Q17737,In,Open_KG,head_,default
11535,someone,Q36348,is in,Open_KG,head_,default
11536,Q41253,Q11042,dominant ideology of,KG,,default
11537,Q1415271,Q486902,follows,KG,,default
11538,this,incomplete,is,Open_KG,head_tail_,default
11539,Q11424,only possible,is,Open_KG,tail_,default
11540,Q28793,metaphysical,was,Open_KG,tail_,default
11541,Q6000351,Q47164,studio in,KG,,default
11542,Q375336,Q47164,is in,KG,,default
11543,its,Despicable Me,film,Open_KG,head_tail_,default
11544,Q6000351,Q11424,has,KG,,default
11545,Q11424,Q2822121,was,KG,,default
11546,Q12379,2022,is in,Open_KG,tail_,default
11547,Q11424,Q36484,developed in,KG,,default
11548,Q36484,Q14313,is with,KG,,default
11549,Q43297,Q1164740,is,KG,,default
11550,Q43297,edited,is,Open_KG,tail_,default
11551,Q43297,written,is,Open_KG,tail_,default
11552,Q106526,features,recovered silent films,Open_KG,tail_,default
11553,Q1318295,Q6428674,is in,KG,,default
11554,Q178651,those,is with,Open_KG,tail_,default
11555,Q859884,Q372324,is in,KG,,default
11556,his,1996,film,Open_KG,head_tail_,default
11557,Q23309977,Q48322275,employees of,KG,,default
11558,Q43297,Q265158,has received,KG,,default
11559,Q35127,Q2994424,has,KG,,default
11560,you,Q3506692,be prepared to,Open_KG,head_,default
11561,it,Q3005427,is,Open_KG,head_,default
11562,Q528096,Q7013935,writing in,KG,,default
11563,Q43297,Q6511,is,KG,,default
11564,Q130234,Q601401,is related,KG,,default
11565,Q130234,Q601401,is unofficial,KG,,default
11566,Q5158726,gross,first Indian film to,Open_KG,tail_,default
11567,Q1137675,Q1137675,was preceded by,KG,,default
11568,Q18185,Q119,is in,KG,,default
11569,Q11424,Q668,is in,KG,,default
11570,Q11424,Q30,is in,KG,,default
11571,Q7414,Q11424,has,KG,,default
11572,Q573,Q11424,is with,KG,,default
11573,Q577,Q1150666,has,KG,,default
11574,Q3975,its,haul,Open_KG,tail_,default
11575,Q9557,Q5326940,has,KG,,default
11576,it,Q20762668,was,Open_KG,head_,default
11577,it,Q20762668,was,Open_KG,head_,default
11578,Q11424,Q1137675,is in,KG,,default
11579,Q11424,Q1071233,is in,KG,,default
11580,Q11424,Q668,is in,KG,,default
11581,Q11424,Q37654,is in,KG,,default
11582,Q11424,Q148,is in,KG,,default
11583,Q10290214,Q11424,is in,KG,,default
11584,Q129987,Q123738,is in,KG,,default
11585,1889,Q205375,in Greene is,Open_KG,head_,default
11586,Q129987,1889,is in,Open_KG,tail_,default
11587,Q123738,Q205375,in Greene is,KG,,default
11588,Q205663,1890,was patented in,Open_KG,tail_,default
11589,Q172008,Q28136257,becomes,KG,,default
11590,Mosquinha,Q289217,directed by,Open_KG,head_,default
11591,Q2680856,Q9616,'s Road is,KG,,default
11592,Q1048439,Q738052,is in,KG,,default
11593,Q1048439,Q129987,directed by,KG,,default
11594,Q421675,Q267176,director of,KG,,default
11595,Q8425,watch,is based,Open_KG,tail_,default
11596,they,Q5425755,are known as,Open_KG,head_,default
11597,they,Q183,are,Open_KG,head_,default
11598,Q141488,Q6256,is in,KG,,default
11599,Q581044,Q60,is in,KG,,default
11600,Q1937781,Q174274,Famous societies,KG,,default
11601,Q214878,Q1937781,has,KG,,default
11602,Q83478,Q6256,is in,KG,,default
11603,Q988108,F.I.C.C.,is called,Open_KG,tail_,default
11604,Q1415086,Q408,is in,KG,,default
11605,Q18336315,Q6834878,Notable members,KG,,default
11606,Q902,Q902,is in,KG,,default
11607,Q11042,70's,Young generation of,Open_KG,tail_,default
11608,Q1415086,Q902,is in,KG,,default
11609,Q43229,Q923623,is,KG,,default
11610,Q8425,Moviyana Film Society Dhaka University Film Society Chipachas,are,Open_KG,tail_,default
11611,Q43229,Q260528,largely modelled on,KG,,default
11612,Q739330,Q118,is in,KG,,default
11613,it,Q186115,Located at,Open_KG,head_,default
11614,Q186115,Q90,is in,KG,,default
11615,It,Q180516,is also equipped with,Open_KG,head_,default
11616,Q11424,Q33959,is in,KG,,default
11617,Q174274,1936,is in,Open_KG,tail_,default
11618,Q362544,Q7521081,is with,KG,,default
11619,Q83158,Q1255921,became,KG,,default
11620,Q1415086,Q193541,cradle of,KG,,default
11621,Q1415086,Q1233773,became,KG,,default
11622,Q38848,Q1681122,is in,KG,,default
11623,Q8034770,Q38848,is in,KG,,default
11624,Q157512,Q79782,is in,KG,,default
11625,Q211198,discussion,draw everybody into,Open_KG,tail_,default
11626,occasion,Q577,being celebration of,Open_KG,head_,default
11627,Q2023566,Q90,is in,KG,,default
11628,Q988108,1971,dissolved in,Open_KG,tail_,default
11629,Q1415086,Q183,is in,KG,,default
11630,Q1415086,1947,Society in,Open_KG,tail_,default
11631,Q28,Q28,is In,KG,,default
11632,Q1415086,1947,is in,Open_KG,tail_,default
11633,Q8873,Q1415086,founded,KG,,default
11634,Q8873,Q1255921,was elected,KG,,default
11635,Q10526015,Q80687,was,KG,,default
11636,It,Q577,was active for,Open_KG,head_,default
11637,Q1415086,Q1186,is in,KG,,default
11638,It,Q17641254,paved,Open_KG,head_,default
11639,Q56281007,Q1352,is in,KG,,default
11640,Q11424,Q7748,being exempt from,KG,,default
11641,Q11424,Q7748,being exempt from,KG,,default
11642,Q1415086,as allowed,are,Open_KG,tail_,default
11643,yadharthaa,Q1415086,is,Open_KG,head_,default
11644,Q1415086,2004,organising Madurai International Children Film Festival from,Open_KG,tail_,default
11645,Q11424,Q1761,is in,KG,,default
11646,Q7920475,Q11424,was unusual in,KG,,default
11647,Q11424,Q622425,screened by,KG,,default
