,subject,relation,object
14292,important instrument,is in,multi-media phantasmagoria spectacles
14293,projection,projection on,smoke
14294,term photoplay,commonly used in,early days cinema
14295,experiment,is with,rotating cardboard disc
14296,rotating cardboard disc,is with,concentric series of apertures
14297,Faraday,by,input
14298,apertures,is in,Faraday 's experiment
14299,drawings,is in,motion
14300,they,impression of,fluent motion
14301,Faraday,in,experiment
14302,Plateau,has,Fantascope
14303,most movements,is in,nature
14304,Josephstadt Theatre,is in,Vienna
14305,combination,is with,stroboscopic animation
14306,Wheatstone,from,early stereoscopic photography
14307,stop motion technique,is in,different positions
14308,stop motion technique,is with,stereoscopic recordings of plaster models
14309,Plateau,proposed,stop motion technique avant la lettre with stereoscopic recordings of plaster models in different positions
14310,Jules Duboscq,has,new portable viewer with lenses
14311,early 1850s,is with,David Brewster
14312,Jules Duboscq 's new portable viewer,is with,lenses
14313,several pioneers,started,to experiment with goals in mind
14314,Plateau,has,Fantascope in France
14315,Plateau 's Fantascope,is in,France
14316,Plateau,of,Fantascope
14317,stereoscopic sets,is in,action
14318,one F. Wenham,is in,1895
14319,Coleman Sellers II,has,kinematoscope
14320,Czermak,to,Stereophoroskop
14321,1862 International Exhibition,is in,London
14322,Janssen,has,photographic revolver
14323,Several discs,is with,images
14324,they,photograph by,other means
14325,they,would,since would hard
14326,Donisthorpe,has,early film concepts
14327,presentation,is in,continuous movement
14328,recorded images,would,would printed at equal distances apart on strip of paper
14329,Donisthorpe,demonstrated,his phonograph
14330,article,is in,Scientific American
14331,it,carry much further,illusion of real presence
14332,phonograph,is with,Kinesigraph
14333,interview,is with,Edison
14334,Leland Stanford,of,horses
14335,motion,is with,line of cameras along race track
14336,Horse,is in,Motion
14337,Muybridge,has,sequential pictures
14338,people,watch,them
14339,figures,were mostly seen as,silhouettes
14340,silhouettes,is with,device
14341,he,eventually called,Zoopraxiscope
14342,pictures,painted onto,glass discs
14343,Muybridge,has,example
14344,sequential photograph series,method by,French scientist Étienne Jules Marey
14345,way,strides of,horses
14346,Étienne Jules Marey,using,his chronophotographic gun
14347,Étienne Jules Marey,started In,1882
14348,It,taking,12 consecutive frames second
14349,showing,was,practical
14350,Muybridge 's photographic sequences,inventors in,late 19th century
14351,inventors,is in,late 19th century
14352,Muybridge,'s sequences is,inventors in late 19th century
14353,Muybridge,of,photographic sequences
14354,making,was,practical
14355,information,is in,periodicals
14356,personal contact,is with,colleagues
14357,window,is in,wall of small darkened room
14358,wide milk glass screen,is in,window
14359,long cylindrical automated version,is with,six small screens
14360,that,was,successfully distributed internationally
14361,Anschütz,project,images on 6 by 8 meter screen for 300 seat audiences
14362,Donisthorpe,has,1876 patent
14363,George Eastman,patented,his ideas for photographic film
14364,gelatin,first rolls of,Eastman film
14365,Le Prince,has,animated pictures of natural scenery
14366,camera,was illustrated with,sixteen lenses in patent documents
14367,sixteen lenses,is in,patent documents
14368,images,stored on,two lower drums
14369,film,be endless,gelatine
14370,Eastman,such,paper film
14371,first boxes,were,after exhausted
14372,similarities,is in,terminology
14373,similarities,is in,Le Prince
14374,Le Prince,was inspired by,Donisthorpe 's work
14375,Le Prince,was directly inspired by,Donisthorpe 's work
14376,Donisthorpe,by,work
14377,Donisthorpe,has,patents
14378,application,was,Before granted
14379,Le Prince,is in,Paris
14380,additional patents,is in,many countries.A sequence of 16 frames of recordings of man walking around corner
14381,Le Prince,applied for,additional patents in many countries.A sequence of 16 frames of recordings of man walking around corner
14382,his wife 8 gelatin pictures,showing,his mechanic running
14383,Le Prince,keeping,better results for his own use
14384,Le Prince,also recorded,trams
14385,Jumel Mansion,is in,Manhattan
14386,Jumel Mansion,is in,1890
14387,Reynaud,has,Théâtre Optique
14388,longer sequences,is with,separate backgrounds
14389,score,is with,songs
14390,Musée Grévin,is in,Paris
14391,displaying motion pictures,is in,1885
14392,Lumiere factory,is in,moving pictures
14393,Lumiere factory,is in,Lyon.Donisthorpe 's interest
14394,Lyon.Donisthorpe,in,interest
14395,Donsithorpe,in,home town of Leeds
14396,they,short film of,bustling traffic
14397,London,in,Trafalgar Square.The Pleograph
14398,It,also doubled as,projector
14399,Prószynski,Using,improved pleograph
14400,meeting,is with,Muybridge
14401,Edison employee W. K. L. Dickson,got,job for development of technology
14402,Anschütz,based,rotating disc
14403,Edison,had visited,Étienne Jules Marey
14404,Reynaud,by,Théâtre Optique
14405,Women,of,Clubs
14406,others,is in,Europe
14407,Edison,patent instruments outside,US
14408,lower Broadway store,is with,films of Griffo Barnett prize boxing fight
14409,Madison Square Garden,from,roof
14410,It,was,first commercial projection
14411,their,Bioscop,flickerfree duplex construction
14412,single event,is in,Hamburg
14413,their movies,were,On 21 december screened as single event in Hamburg
14414,27 december 1895,is in,Paris
14415,Europe 's main producers,is with,their actualités
14416,Europe,has,main producers with actualités like Workers Leaving
14417,Lumieres ' films,would,on exactly same day would first projected in London
14418,sprocket rollers,provide,motion
14419,sprocket rollers,provide,intermittent motion
14420,he,presented,his first theatrical programme
14421,Alhambra Music Hall,is in,Leicester Square
14422,showing motion picture films,is with,projector to large audience than exhibiting in peep show machines
14423,His device,was sold across,Europe.By 1896
14424,His device,was,sold
14425,His equipment,called,Mutoscope
14426,numerous smaller producers,is in,United States
14427,image sheets,flipped into,view in succession.Besides American Mutoscope
14428,view,is in,succession.Besides American Mutoscope
14429,long term presence,is in,new century
14430,American Vitagraph,studios in,Brooklyn
14431,built studios,is in,Brooklyn
14432,prints,wanted,them
14433,them,prints for,sale to whomever
14434,company factory,is in,Lyon
14435,fiction films,is in,France
14436,largest film company,is in,world
14437,World War I. Léon Gaumont,began film production in,1896
14438,he,filmed,Henley Royal Regatta
14439,amateur use,is in,1898
14440,Britain,of,first films with Robert W. Paul
14441,Britain 's first films,is with,Robert W. Paul
14442,it,used,17.5 mm gauge
14443,Charles Urban,managing director of,Warwick Trading Company
14444,his,company,Charles Urban Trading Company
14445,London,to,Wardour Street
14446,largest film producers,is in,United Kingdom
14447,forerunner,is with,its several establishments of large studios
14448,Babelsberg Studio,is in,Germany
14449,first large scale film studio,is in,world
14450,forerunner,is in,early 20th century
14451,obvious flicker,is in,projected image
14452,Flicker problem,was,Before 1902 often troubled by obvious flicker in projected image
14453,systems,is in,use
14454,Reynaud,in,Praxinoscope
14455,Other systems,projected images intermittently by,reflections from mirror carousel similar to principle applied in Reynaud 's Praxinoscope
14456,Turner,has,camera
14457,he,named,Kinemacolor
14458,he,later named,Kinemacolor
14459,his,backer,pioneering film producer Charles Urban
14460,two color components,of projection is,defect
14461,color flicker,technically known as,color bombardment
14462,general public,first saw Kinemacolor in,program of 21 short films shown on 26 February 1909 at Palace Theatre in London
14463,Palace Theatre,is in,London
14464,first feature length documentary,is in,1912
14465,first feature length documentary,is With,Our King Through India
14466,Madison Square Garden,is in,New York.Kinemacolor
14467,300 cinemas,is in,Britain
14468,dramatic films,were,produced
14469,54 dramatic films,were,produced
14470,variant method,was promoted by,William Friese Greene
14471,it,would,if would bear cranked at sufficient rate
14472,subject,was in,when rapid motion
14473,projector,had,corresponding triad of lenses
14474,mechanism,is in,device
14475,Kinemacolor,has,color bombardment
14476,Chronochrome,has,color quality
14477,camera,has,three lenses
14478,color fringes,subjects near,too camera
14479,Gaumont,outside,own cinemas
14480,Kinemacolor,has,color flicker
14481,film stock,is with,normal base thickness
14482,matrices.Technicolor,of,system
14483,multiple prints,be created from,single pair of matrices.Technicolor 's system
14484,two 45 degree prisms,is in,form of cube
14485,two 45 degree prisms,light from,lens
14486,high pressure contact,is with,receiver
14487,Walt Disney,has,Flowers
14488,color feature,is in,New Technicolor
14489,first short live action film,first all color feature in,New Technicolor
14490,proliferation,is in,early 1950s
14491,Technicolor,of,near monopoly on medium
14492,color boom,was aided by,breakup of Technicolor 's near monopoly on medium
14493,technical difficulties,is in,synchronizing images
14494,technical difficulties,is with,sound
14495,significant interest,is in,motion pictures
14496,viewers,' experience is,silent films
14497,Experimentation,is with,sound film technology
14498,Vitaphone system,producing,short films of live entertainment
14499,talking pictures,were,future
14500,Digital film Digital cinematography,process of,capturing film images using
14501,digitally.Many vendors,brought products to,market
14502,digital film,still has,slightly different look to analog film
14503,Current digital film cameras,is with,4k output
14504,digital film,slightly different look to,analog film
14505,motion pictures,use of,digital technology
14506,analogue film,achieve,desired results.Digital cinema
14507,traditional film reels,had,Whereas had shipped to movie theaters
14508,traditional film reels,had,Whereas had to shipped to movie theaters
14509,Digital cinema,is distinct from,high definition television
14510,Pioneers,1896 to,Present
14511,Cinema,is in,England
14512,Charles Scribner,has,Sons 1990
14513,Thunder,has,Mouth press 2006
14514,Thunder,has,Mouth Press 2001
14515,Musser,Charles at_time,1990
14516,Charles Scribner,has,Sons
14517,Hollywood,has,Construction of Afro American Culture
14518,German Cinema,Immagine ',Edizioni Biblioteca dell
14519,filmmaking,is in,Florida
14520,popup warning,exhibit of,filmmaking in Florida
14521,ancient film camera,inside warning is,possible vanity site History exhibit of filmmaking in Florida
14522,January 1930,HISTORY OF,WIDE FILMS History
14523,Project Westphalian History,is in,film
14524,lantern,is early,projector
14525,magic lantern,also known by,its Latin name lanterna magica
14526,It,commonly used for,entertainment purposes
14527,It,was,increasingly used for education during 19th century
14528,concave mirror,is in,back of light source
14529,it,therefore formed,enlarged image of slide on screen
14530,it,enlarged image of,slide on screen
14531,Biunial lanterns,is with,two objectives
14532,painting,Sometimes was done on,oiled paper
14533,colored printed slides,making,use of decalcomania transfers
14534,colored printed slides,often making,use of decalcomania transfers
14535,time,is in,17th century
14536,invention,is in,1790s
14537,invention,is in,1820s
14538,safety,eventually incandescent electric lamp,convenience
14539,invention,is in,1860s
14540,immense interest,is in,optics
14541,magic lantern,would prove,perfect successor
14542,small hole,is in,screen
14543,scene,of image is,for instance wall
14544,image,wall for,instance
14545,This,is natural,occurs
14546,other side,at image is,for instance wall
14547,It,experimented with,with darkened rooms
14548,use,is in,hole
14549,portable camera obscura box,is with,lens
14550,his invention,of description is,Steganographic Mirror
14551,primitive projection system,is with,focusing lens
14552,Kircher 's technique,show,journey from China to Belgium of Italian Jesuit missionary Martino Martini
14553,Kircher,has,technique
14554,Kircher,than,technique
14555,Tacquet,been early,technique
14556,Huygens,developed around,period
14557,Invention Christiaan Huygens Prominent Dutch scientist Christiaan Huygens,is nowadays widely accepted as,true inventor of magic lantern
14558,Athanasius Kircher,has,1645 edition of Ars Magna Lucis et Umbrae
14559,himself,summon,wonderful appearances in magical performances
14560,himself,summon,appearances in magical performances
14561,Christiaan,'s father is,Constantijn
14562,wonderful appearances,is in,magical performances
14563,Christiaan,has,father
14564,he,got from,Drebbel
14565,convex glasses,is with,lamp
14566,he,translated from,French
14567,page,was,As found between documents dated in 1659
14568,Huygens,regret,invention
14569,lantern,came from,him
14570,his,brother,Lodewijk
14571,family,has,reputation
14572,Thomas Rasmussen Walgensten,mathematician from,Gotland
14573,Christiaan Huygens,learned about,magic lantern from him
14574,magic lantern,is in,Paris
14575,everyday items,is in,Rome
14576,they,now are almost everyday items in,Rome
14577,Athanasius Kircher,is in,1671
14578,magic lantern,in,recorded history
14579,many gaps,is in,magic lantern 's recorded history
14580,lanterns,is with,horizontal cylindrical bodies
14581,Walgensten,has,lantern
14582,centers,is in,1686
14583,arrival,is in,city of Nürnberg
14584,Griendel,was,indicated as inventor of magic lantern by Johann Christoph Kohlhans in 1677 publication
14585,Augsburg,from Wiesel is,1583 1662
14586,Huygens,studied samples since,1653
14587,Huygens,is,known
14588,Wiesel,of,lens making
14589,rosette chimney,mirror at,inside front
14590,rosette chimney,mirror behind,fixture for candle
14591,horizontal cylindrical body,is with,rosette chimney on top
14592,ship,has,lantern around 1640
14593,top,on chimney is,concave mirror behind fixture for candle inside at front
14594,Wiesel,has,designs
14595,his death,is in,1662
14596,his,brother,Huygens
14597,Huygens,corresponded with,London optical instrument maker Richard Reeve
14598,Kircher,in,book
14599,it,work as,point light source projection system
14600,experiments,is with,construction as illustrated in Kircher 's book
14601,person,is in,purgatory
14602,audience,would,so would ignorant of cause of their appearance
14603,lantern,would,if would hidden in separate room
14604,they,scare,audience
14605,apparatus,lantern of,fear
14606,entire comedy,is with,its lively colours
14607,representations,is with,star
14608,attempts,is in,rare forms
14609,important role,is in,his plan world exhibition
14610,important role,is with,projections of attempts at flight in rare forms
14611,early advocate,is In,1685 1686
14612,detailed anatomical illustrations,draw on,chalkboard
14613,Zahn,was early,use
14614,his,Chinoises,shadow play.Magic lanterns
14615,Savoy region,is in,France
14616,Scottish lecturer Henry Moyes ’s tour,is in,1785 86
14617,they,supposedly came from,Savoy region in France
14618,Scottish lecturer Henry Moyes,since,tour of America in 1785 86
14619,college laboratories,procure,one
14620,educational tool,is in,late 1700s
14621,Her educational methods,were,published in America in English translation during early 1820s
14622,Philip Carpenter,has,London company
14623,It,produced,high quality projections
14624,200 images,is in,56 frames of zoological figures
14625,9 sliders,taken from,Friedrich Wilhelm Herschel 's textbooks
14626,Friedrich Wilhelm Herschel,from,textbooks
14627,9 sliders,taken from,David Hume 's History of England
14628,sliders,taken from,Friedrich Wilhelm Herschel 's textbooks
14629,sliders,taken from,David Hume 's History of England
14630,David Hume,from,History of England
14631,company,in,catalogue
14632,magic lantern,affordable to,masses
14633,smaller glass sliders,which instead,wooden frames usually had
14634,smaller lanterns,is with,smaller glass sliders
14635,introduction,is in,1890s
14636,lantern,was direct,projector
14637,Motion,is in,animated slides
14638,subjects,is with,repetitive movements popular like sails on windmill turning on seesaw
14639,Movements,be,performed
14640,Movements,be performed at,different speeds
14641,lantern,hidden from,view of audience behind projection screen
14642,staple technique,is in,phantasmagoria shows
14643,it,place,it
14644,it,take off,its head
14645,History ===,is In,1645
14646,Zacharias Conrad von Uffenbach,liked,effects
14647,astronomy Pieter van Musschenbroek,'s edition is,1739
14648,astronomy Pieter van Musschenbroek,has,second edition
14649,twelve slides,is with,four pictures
14650,he,were delicately painted.Several types of,mechanical slides
14651,he,were types of,mechanical slides
14652,he,thought,delicately painted.Several types of mechanical slides
14653,Jan van Musschenbroek,maker of,outstanding magic lantern with excellent lenses
14654,outstanding magic lantern,is with,excellent lenses
14655,technique,commonly used especially intricate multiple rackwork mechanism in,phantasmagoria.An
14656,planets,revolving around,sun
14657,movable glass plate,is with,one figures
14658,train,is with,several wagons
14659,slipping slides,is with,masking
14660,person,has,head
14661,nose,slowly moving,masking glass
14662,moving part,was operated by,lever
14663,These,were mostly used for,repetitive movements
14664,woodcutter,girl on,swing
14665,jointed figures,set in,motion
14666,it,tumble with,dangling feet
14667,somersaulting monkey,is with,arms
14668,rotating two painted glass discs,is with,originally double pulley mechanism
14669,double lantern.Mechanical slides,is with,abstract special effects
14670,rotating two painted glass discs,is in,opposite directions
14671,It,soon added as,novelty to program of Royal Polytechnic Institution
14672,ingenious mechanism,is with,two metal plates
14673,it,locked away at,Polytechnic
14674,workings,is,secret
14675,Eidotrope,patterns of,bright white dots
14676,It,was invented by,English scientist Charles Wheatstone
14677,It,was,invented by English scientist Charles Wheatstone in 1866
14678,slide,is with,single perforated metal
14679,holes,can,can tinted with colored pieces of gelatin
14680,disc,has,vibration
14681,versions,were,when marketed
14682,commercial versions,were,when marketed
14683,slide,is with,adjustable stylus bar for drawing geometric patterns on sooty glass
14684,patterns,are similar to,that produced with Spirograph
14685,magic lantern show,is in,19th century
14686,magic lantern show,is in,England
14687,while Ireland,is in,1803
14688,mist,is in,his representation of Witch of Endor
14689,he,working out,desired effect
14690,technique,is with,landscapes
14691,early incarnation,is in,imitation of moonlight
14692,dissolving views,is in,1807
14693,technique,is in,1818
14694,Childe,for,shows at Adelphi Theatre in London
14695,Adelphi Theatre,is in,London
14696,confusion,is with,Diorama
14697,it,were by,Magic
14698,Biunial lanterns,is with,two projecting optical sets in one apparatus
14699,two projecting optical sets,is in,one apparatus
14700,Royal Adelaide Gallery,is in,London
14701,it,create,duplicate slides
14702,simultaneously.Philip Carpenter,has,copper plate printing process
14703,that,differently create,dissolving view slides
14704,movement,is with,magic lantern
14705,battery,is,when connected
14706,flattened coil,is with,magnetized needle moving from side to side
14707,projection,is with,nerves of severed frog legs connected to electric wires
14708,Choreutoscope,demonstrated at,Royal Polytechnic
14709,It,used,hand cranked mechanism for intermittent movement of slide
14710,It,synchronized,shutter action
14711,his head,raising,loose head
14712,slides,probably provided,very first trick photography sequence projection
14713,It,was,very popular in Europe from late 18th century to well into 19th century
14714,Vienna,in Erscheinungen is,Schröpfer-esque Ghost Apparitions
14715,his,Schröpferischen,und Cagliostoischen Geister Erscheinungen in Vienna
14716,his successful Schröpferischen,Erscheinungen in,Vienna
14717,und Cagliostoischen Geister Erscheinungen,is in,Vienna
14718,he,beginning in,1801
14719,his own Fantasmagorie show,is in,Paris
14720,triumphant comeback,is in,Paris
14721,Royal Polytechnic Institution,is in,London
14722,popular venue,is with,many kinds of magic lantern
14723,Popular magic lantern presentations,included,Henry Langon Childe 's dissolving views
14724,Henry Langon Childe,has,dissolving views
14725,Henry Langon Childe,'s views is,chromatrope
14726,magic lantern,is in,Japan
14727,brilliant quality,is in,lantern slides
14728,lantern slides,be found in,many museums
14729,Museums,often provide,video representations of slides
14730,Million Pictures,lasted until,May 2018
14731,thousands,is in,collections of libraries
14732,20 performers,is in,U.K.
14733,eight performers,is in,other parts of world
14734,contemporary magical light spectacles,Lichtbende,workshops
14735,Magic,is with,Tom Gunning
14736,List External links magic lantern.eu website,is with,more 8000 lantern slides
14737,live Magic Lantern performance,is with,accompaniment of crystal instruments
14738,Cinema Film Institute Chennai University,of School is,Margaret Herrick Library
14739,A School,Images of,Lantern Slides from National Museum
14740,Cinema Film Institute Chennai University,of School is,Academy Images
14741,Cleveland Public Library,at,Digital Gallery
14742,library,of,W. Ward Marsh Collection
14743,lantern slides,are part of,library 's W. Ward Marsh Collection
14744,DBA,is specific,subwoofers
14745,subwoofer,is in,specific grid
14746,polarity inverted wave,array on,back wall
14747,back wall,wave from,front wall
14748,reflection,is,so canceled
14749,This,is also known as,active absorption
14750,Modal resonances,are reduced to,minimum
14751,tonal balance,is with,satellite speakers
14752,it,use walls with,lower distance of separation
14753,good idea,is in,most cases
14754,it,'s good,use
14755,room,on,physical characteristics
14756,better References Original white paper,is in,German
14757,rectangular room DBA installations,is with,measurements Subwoofer
14758,dark humor,is,core component
14759,Laurence Sterne,in,1759 English novel Tristram Shandy
14760,black comedy,is in,form of self mutilation
14761,sash,circumcises,him
14762,comedy,is,broad covering
14763,Black humor,can,can occasionally related to grotesque genre
14764,black comedy,is with,authors
14765,ancient Greeks,is with,Aristophanes
14766,his,Directions,1731
14767,Servants,to Directions is,Modest Proposal
14768,his pieces Directions,Meditation Upon,Broomstick
14769,Breton,has,preference
14770,humor,is in,few aphorisms
14771,his,Directions,Modest Proposal
14772,Servants,to Directions is,Meditation Upon Broomstick
14773,his,Directions,Meditation Upon Broomstick
14774,humor,is in,particularly his pieces Directions to Servants
14775,Swift,of,writings
14776,victim,has,suffering
14777,Nathanael West,is in,American literary criticism
14778,late 1950s,been,since have labeled for using sick comedy by mainstream journalists
14779,itself,be,compelled
14780,Nature Sigmund Freud,is in,his 1927 essay Humour
14781,itself,be compelled,to suffer
14782,we,surmounted,them
14783,comedy,is natural,it
14784,comedy,is human,it
14785,it,was,from where imported to United States
14786,Germanic equivalent,is in,Belgian Dutch expression groen lachen lit
14787,gallows humour,focusing on,particular type of laughter
14788,it,is,coping
14789,it,is,where acknowledged coping mechanism
14790,it,is,acknowledged
14791,Saint Lawrence,Prefect of,Rome
14792,St Lawrence 's association,is with,gridiron
14793,St Lawrence,has,association with gridiron
14794,I,'m,well done
14795,I,'m,done
14796,their,blade,Tameshigiri
14797,aforementioned areas,is with,ripped skin
14798,ashes,would,would spread in wind
14799,it,be,tough day
14800,it,be,tough
14801,Damiens,hearing,sentence
14802,it,has,well worth
14803,he,was,when about to beheaded with guillotine on 5 April 1794
14804,Sir Walter Raleigh,was,beheaded in Old Palace Yard at Palace of Westminster on 29 October 1618
14805,he,said to,his executioner
14806,This,is,sharp
14807,Sir Walter,has,final words
14808,Raleigh Trevelyan,is in,his book
14809,you,Are,sure
14810,it,has,safe
14811,Neville Heath,was,hanged for murder in 1946
14812,Neville Heath,was hanged for,murder
14813,you,'re about,While it
14814,you,'re about,it
14815,Military Military life,is,full of gallows humor as those in services continuously live in danger of killed especially in wartime
14816,example,For Isshikirikkou is,イッシキリッコウ
14817,American nickname,was flying,Zippo
14818,rescue,survivors of,HMS Sheffield sunk in 1982 in Falklands War
14819,they,sung,Monty Python song
14820,Soviet pilots,is in,World War II
14821,Battle,May is at_time,June 1916
14822,overnight engagement,is with,heavily armed German dreadnought SMS Westfalen
14823,It,'s long,Tipperary
14824,It,'s long way to,Tipperary
14825,his men,attack repeatedly,enemy lines
14826,his men,attack enemy lines repeatedly despite,disastrous losses
14827,French soldiers,eventually went into,battle baaing like sheep
14828,United States ships,is in,escort carrier category
14829,ship,due,complete lack of armor of ships constructed
14830,132 survivors,hitting mine on,13 September 1941
14831,Ilmarinen,has,swimming team
14832,Mexico,soldiers from,Republic of Texas
14833,they,were,recaptured
14834,victims,were chosen by,lottery
14835,presence,is in,police force
14836,Emergency service workers Workers,is in,emergency services
14837,Massachusetts firefighter,was,In 2018 reprimanded for response to call about cat stuck in tree
14838,opinion article,is in,Fire Chief magazine
14839,I Laugh,allude to,punch line of joke
14840,Wild West rancher,is with,arrow in his chest
14841,arrow,is in,his chest
14842,I,am,fine
14843,you,'re,Republicans
14844,I,forgot to,duck
14845,Ronald Reagan,being shot by,John Hinckley Jr.
14846,Ronald Reagan,being,shot by John Hinckley Jr. in 1981
14847,events,is in,film
14848,Hyde Park,London by,William Friese Greene
14849,Monkeyshines No. 1,becomes,first film shot on system
14850,Buses,Open,Hansom Cabs
14851,Cinematographer,has,Art
14852,Cinematographer 's Art,is,fifth book by Leonard Maltin regarding movies
14853,Maltin,of,interviews
14854,work,is in,film
14855,Women,has,cinema
14856,women,has,contributions all over world
14857,Women,has,cinema
14858,Women,has,cinema
14859,Famous women,is in,film history
14860,cinema,was,was invented
14861,Gaumont Film Company,is in,France
14862,silent films,is in,France
14863,Lois Weber,found,success
14864,Gaumont,as,head of production
14865,Lois Weber,found success in,creating silent films
14866,Weber 's films,focus on,difficult social issues
14867,Weber,has,films
14868,Weber 's films,often focus on,difficult social issues
14869,Mack Sennett,at,Keystone Studios
14870,Charlie Chaplin,did as,Tramp at Mack Sennett 's Keystone Studios
14871,Grace Cunard,Other notable actresses,Nell Shipman
14872,Women screenwriters,were highly sought after,after early years of cinema
14873,successful careers,is in,silent eras
14874,first female executive,is in,Hollywood
14875,Mathis,was also first female executive in,Hollywood
14876,country 's first female film maker,is In,Sweden
14877,She,also acted in,film
14878,Ebba Lindkvist,However directed,Värmländingarna
14879,women,has,roles behind camera
14880,industry 's implementation,is in,form of Hays Code
14881,industry 's implementation,is in,1934
14882,topics,were,taboo
14883,industry,has,implementation of self censorship in form of Hays Code in 1934
14884,Dorothy Arzner,was,only woman director to survive in unfriendly environment
14885,it,trace,feminist elements
14886,it,is,Nevertheless possible
14887,her,film,about two women struggling
14888,film,was,When selected for inclusion in National Film Registry
14889,their place,is in,spotlight
14890,inclusion,is in,National Film Registry
14891,Joan Crawford,is in,Bride Wore Red
14892,Hollywood,of,most formidable actresses
14893,it,is more open than,mainstream film industry for women
14894,common interest,is in,politics of images of aesthetic language
14895,Women 's involvement,is in,experimental garde cinema
14896,Women,has,involvement in experimental garde cinema
14897,women,actively involved in,cinematic genre
14898,Germaine Dulac,was,leading member of French avant garde film movement after World War I
14899,Dulac,was leading,movement
14900,Maya Deren,of,visionary films
14901,independent American film scene,is in,New York
14902,their male counterparts.Shirley Clarke,was,as leading figure of independent American film scene in New York in fifties
14903,independent American film scene,is in,fifties
14904,Clarke,was leading,scene
14905,their male counterparts.Shirley Clarke,was,as leading figure of independent American film scene in New York in fifties
14906,Her work,is,unusual
14907,Wieland,was,Canadian
14908,Joyce Wieland,was,Canadian experimental film maker
14909,many women,produce,non-commercial animation films
14910,women,produce,non-commercial animation films
14911,Impact,is In,late sixties
14912,New Left,was at,its height
14913,dominant cinema,movements,i.e. Hollywood
14914,sisterhoods,is in,movies
14915,Steel Magnolias,is in,1989
14916,films,is in,latter part of 20th century such with idea of sisterhoods
14917,women,has,oppression
14918,difficulty,is in,identifying with idea of femininity
14919,Other concepts,is in,films involved
14920,feminism,is in,movies
14921,filmmakers,intentionally deconstruct,model of classical film
14922,Sally Potter,such,Thriller
14923,woman,from,point of view
14924,Lizzie Borden,has,Working Girls 1986
14925,Molly,is educated,chosen
14926,Molly,lesbian in,stable mixed race relationship
14927,Borden,until,film
14928,her professional interactions,is with,her johns
14929,sex workers,been,since until Borden 's film had depicted stereotypically
14930,to her last day,point of,view
14931,job,on day is,completely original point of view
14932,her,day,completely original point of view
14933,sex workers,been,since until Borden 's film had largely depicted stereotypically
14934,story,has,sympathetic well rounded character
14935,Women,is in,cinema
14936,true comparison,is masculinity versus,femininity
14937,representation,is in,media
14938,3 factors tested,are,1
14939,2 women,is in,film
14940,them,either dependent on,male counterpart
14941,women,even have,successful career
14942,strong role reliant,is in,Even two films
14943,counterpart,is,strong
14944,counterpart,is,reliant
14945,Katniss,is in,Hunger Games
14946,Katniss,is in,Mad Max
14947,women,are,as typically portrayed
14948,Women,is in,cinema
14949,Most women workers,is in,film industry
14950,fear tactics,is in,place
14951,senior positions,is in,industry
14952,many women,is in,senior positions
14953,vulnerability,is in,industry
14954,other women,entering industry in,first place
14955,way women,are treated in,workplace
14956,inequalities,is in,film industry
14957,expectations,is in,their background experience
14958,their background experience,is in,cinematography
14959,Women 's pay rates,is much different than,male workers
14960,Women,has,pay rates
14961,Women 's pay rates,is,much different than male workers
14962,many scenarios,is in,industry
14963,significant difference,is in,numbers of women
14964,women,is in,field
14965,men,is with,higher degrees
14966,women,enter,industry
14967,violence,was key,feminism
14968,their foremothers,is in,older pacifist movements
14969,part,many feminists of,second wave
14970,women,being,in subjected
14971,increase,is in,women 's peace organizations
14972,women,in,peace organizations
14973,Women film directors,documented,participation of women in anti-imperialist resistance movements
14974,participation,is in,anti-imperialist resistance movements
14975,campus assault,pervade,universities
14976,campus sexual assault,pervade,universities
14977,students,were in,attendance
14978,Bigelow,went on,to nominated for Best Director at BAFTA Awards
14979,category,is in,what
14980,she,be shortlisted for,category at 85th Academy Awards in what
14981,Parent Trap,Holiday at_time,2006
14982,success,is with,her five features
14983,she,started,her directorial career
14984,Coppola,is acclaimed,had
14985,Her father,is,Francis Ford Coppola
14986,Wrinkle,is in,Time
14987,first African American woman,Wrinkle in,Time
14988,Statistics study,done by,USC Annenberg
14989,films,for groups is,top 100 films
14990,top 100 films,is in,2015
14991,year,films at_time,4.1 %
14992,women,directing,narrative films
14993,female directors,were,where barely noticed
14994,awareness,produce,social change to what
14995,many films,about presenting,female filmmakers
14996,their present spot,is in,business
14997,study,is in,film industry
14998,Center,is in,Television
14999,it,statistically says,same from year to year
15000,highest earning movies,is with,exception of foreign films
15001,Study,is in,Television
15002,more women,tend,to employed on film projects directed by women
15003,more women,be,employed
15004,more women,be employed on,film projects directed by women
15005,films,is with,at least one female director
15006,women,comprised,53 % of writers
15007,women,comprised,53 %
15008,films,is with,male directors
15009,major characters,% of were,women
15010,speaking characters,is in,top 100 domestic grossing films
15011,first full length film,is with,general theatrical release written by African American woman
15012,African American women,has,cinema Daughters of Dust 1991
15013,films,is with,national release
15014,Cheryl Dunye,Daddy 's,Baby
15015,Maya Angelou,Down in,Delta
15016,Eve,has,Bayou
15017,Down,is in,Delta
15018,Baby,has,Daddy
15019,Houston,City of,Angels
15020,full length movie,Girlz is at_time,2006
15021,Nnegest Likké,is first African American woman Like,That.To date
